Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY BANK","37,954.00","38,112.60","37,700.65","37,772.55","0.85","0.00","816.48","3,057.46","38,112.75","20,430.70","78.35","5.77"
"HDFCBANK","1,579.00","1,594.00","1,575.00","1,590.95","20.95","1.33","54.98","872.42","1,641.00","1,025.00","51.92","2.06"
"ICICIBANK","722.60","724.60","716.55","720.35","3.35","0.47","66.24","477.37","734.80","333.75","104.73","3.73"
"KOTAKBANK","2,030.00","2,052.35","2,013.90","2,027.80","3.80","0.19","15.21","309.04","2,052.35","1,230.60","58.99","18.94"
"RBLBANK","187.15","189.00","184.90","186.00","-0.50","-0.27","97.09","181.00","274.30","155.60","11.81","14.64"
"FEDERALBNK","82.50","82.55","80.80","81.10","-0.75","-0.92","57.66","47.08","92.50","45.35","67.39","1.25"
"BANDHANBNK","290.00","290.80","284.40","286.10","-2.65","-0.92","19.24","55.24","430.70","251.40","6.77","8.06"
"PNB","39.00","39.00","38.00","38.05","-0.45","-1.17","197.01","75.67","46.35","26.30","29.64","4.68"
"INDUSINDBK","1,172.20","1,189.35","1,151.55","1,153.90","-15.25","-1.30","29.61","346.73","1,189.35","485.00","118.52","14.81"
"AXISBANK","812.55","816.95","800.15","801.35","-10.80","-1.33","32.32","260.90","820.70","400.15","90.91","7.37"
"SBIN","451.10","451.90","442.65","443.05","-6.75","-1.50","64.75","288.49","471.90","175.50","141.05","6.09"
"AUBANK","1,114.00","1,124.40","1,077.85","1,083.70","-19.85","-1.80","5.27","57.93","1,389.85","616.70","65.61","-20.30"
"IDFCFIRSTB","48.70","49.10","47.50","47.55","-0.95","-1.96","177.10","85.59","69.30","26.85","67.14","10.84"

